Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
130513-102541,OF,Jared,Jared Oliva,Oliva,1.7428571156093053,7,2100,SF@ARI,SF,ARI,IL,Wrist,,,,OF/UTIL
130513-102577,2B/3B/OF,Santiago,Santiago Espinal,Espinal,2.7086956190026323,23,2100,LAD@SD,LAD,SD,,,,,,2B/3B/OF/UTIL
130513-119621,OF,Luis,Luis Matos,Matos,2.0222223069932728,9,2100,MIL@CHC,MIL,CHC,IL,Undisclosed,,,,OF/UTIL
130513-85260,1B/3B/OF,Patrick,Patrick Wisdom,Wisdom,0,1,2100,CWS@SEA,SEA,CWS,IL,Oblique,,,,C/1B/3B/OF/UTIL
130513-226686,OF,Rhylan,Rhylan Thomas,Thomas,7.466666539510091,3,2100,HOU@MIN,HOU,MIN,,,,,,OF/UTIL
130513-238977,3B,Tanner,Tanner Murray,Murray,4.06923088660607,13,2100,CWS@SEA,CWS,SEA,IL,Shoulder,,,,3B/UTIL
130513-175654,OF,Bryce,Bryce Johnson,Johnson,3.5,22,2100,LAD@SD,SD,LAD,,,,,,OF/UTIL
130513-165583,C,Edgar,Edgar Quero,Quero,4.78125,32,2100,CWS@SEA,CWS,SEA,,,,,,C/1B/UTIL
130513-200498,SS/3B/2B/OF,Max,Max Schuemann,Schuemann,4.237500190734863,8,2100,TOR@NYY,NYY,TOR,,,,,,2B/3B/SS/OF/UTIL
130513-163691,OF,James,James Outman,Outman,3.1800000871930805,35,2100,HOU@MIN,MIN,HOU,,,,,,OF/UTIL
130513-102403,SS/2B,Marco,Marco Luciano,Luciano,,0,2000,TOR@NYY,NYY,TOR,,,,,,2B/SS/UTIL
130513-102409,OF,Nick,Nick Schnell,Schnell,,0,2000,LAD@SD,SD,LAD,,,,,,OF/UTIL
130513-79884,OF,Anthony,Anthony Santander,Santander,6.532203286381091,59,2000,TOR@NYY,TOR,NYY,IL,Shoulder,,,,OF/UTIL
130513-243756,C,Omar,Omar Martinez,Martinez,0.6,5,2000,ATH@LAA,LAA,ATH,,,,,,C/1B/UTIL
130513-102451,OF,Brennen,Brennen Davis,Davis,,0,2000,CWS@SEA,SEA,CWS,,,,,,OF/UTIL
130513-135216,OF,Chas,Chas McCormick,McCormick,2.8500000924775093,66,2000,MIL@CHC,CHC,MIL,,,,,,OF/UTIL
130513-135223,C,Jakson,Jakson Reetz,Reetz,,0,2000,CWS@SEA,SEA,CWS,,,,,,C/1B/UTIL
130513-135263,C,Brian,Brian O'Keefe,O'Keefe,,0,2000,CWS@SEA,SEA,CWS,,,,,,C/1B/UTIL
130513-135267,2B,Kaden,Kaden Polcovich,Polcovich,,0,2000,CWS@SEA,SEA,CWS,,,,,,2B/UTIL
130513-102512,OF,Carlos,Carlos Rodriguez,Rodriguez,,0,2000,LAD@SD,SD,LAD,,,,,,OF/UTIL
130513-102518,3B/1B,Jose,Jose Miranda,Miranda,4.241666793823242,12,2000,LAD@SD,SD,LAD,,,,,,C/1B/3B/UTIL
130513-102521,C,Josh,Josh Breaux,Breaux,,0,2000,CWS@SEA,CWS,SEA,,,,,,C/1B/UTIL
130513-135302,OF,Brayan,Brayan Buelvas,Buelvas,,0,2000,ATH@LAA,ATH,LAA,,,,,,OF/UTIL
130513-198803,3B,Damiano,Damiano Palmegiani,Palmegiani,,0,2000,TOR@NYY,TOR,NYY,,,,,,3B/UTIL
130513-53401,1B/OF,Trey,Trey Mancini,Mancini,,0,2000,ATH@LAA,LAA,ATH,,,,,,C/1B/OF/UTIL
130513-102563,3B/2B/SS,Jonathan,Jonathan Ornelas,Ornelas,2.0333333015441895,6,2000,TOR@NYY,NYY,TOR,,,,,,2B/3B/SS/UTIL
130513-184480,C,Cesar,Cesar Salazar,Salazar,2.25,4,2000,HOU@MIN,HOU,MIN,,,,,,C/1B/UTIL
130513-145617,C,David,David Garcia,Garcia,,0,2000,MIL@CHC,MIL,CHC,,,,,,C/1B/UTIL
130513-194773,C,Logan,Logan Porter,Porter,3.200000047683716,1,2000,SF@ARI,SF,ARI,,,,,,C/1B/UTIL
130513-198895,OF,Walker,Walker Jenkins,Jenkins,,0,2000,HOU@MIN,MIN,HOU,IL,Shoulder,,,,OF/UTIL
130513-198892,OF,Josue,Josue De Paula,De Paula,,0,2000,LAD@SD,LAD,SD,,,,,,OF/UTIL
130513-198898,SS,Jett,Jett Williams,Williams,,0,2000,MIL@CHC,MIL,CHC,,,,,,SS/UTIL
130513-198897,3B,Brock,Brock Wilken,Wilken,,0,2000,MIL@CHC,MIL,CHC,,,,,,3B/UTIL
130513-198914,SS,Roderick,Roderick Arias,Arias,,0,2000,TOR@NYY,NYY,TOR,,,,,,SS/UTIL
130513-116994,SS,Donovan,Donovan Walton,Walton,4.849999904632568,2,2000,ATH@LAA,LAA,ATH,,,,,,SS/UTIL
130513-198918,C,Ethan,Ethan Salas,Salas,,0,2000,LAD@SD,SD,LAD,,,,,,C/1B/UTIL
130513-198931,SS,Felnin,Felnin Celesten,Celesten,,0,2000,CWS@SEA,SEA,CWS,,,,,,SS/UTIL
130513-198933,SS,Sebastian,Sebastian Walcott,Walcott,,0,2000,TEX@COL,TEX,COL,IL,Elbow,,,,SS/UTIL
130513-209179,1B/2B/3B,Will,Will Wagner,Wagner,4.427272727272728,55,2000,LAD@SD,SD,LAD,,,,,,C/1B/2B/3B/UTIL
130513-170321,C,Brian,Brian Serven,Serven,,0,2000,ATH@LAA,ATH,LAA,,,,,,C/1B/UTIL
